'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'NotSuccession(01_BB_770, 01_HOOFD_010)';'NotSuccession';'01_BB_770';'01_HOOFD_010';1.000;0.131;0.131
'RespondedExistence(01_BB_770, 01_HOOFD_015)';'RespondedExistence';'01_BB_770';'01_HOOFD_015';1.000;0.131;0.131
'NotChainSuccession(01_BB_770, 01_HOOFD_015)';'NotChainSuccession';'01_BB_770';'01_HOOFD_015';1.000;0.131;0.131
'RespondedExistence(01_BB_770, 01_HOOFD_020)';'RespondedExistence';'01_BB_770';'01_HOOFD_020';1.000;0.131;0.130
'NotChainSuccession(01_BB_770, 01_HOOFD_020)';'NotChainSuccession';'01_BB_770';'01_HOOFD_020';0.999;0.131;0.130
'AlternatePrecedence(01_HOOFD_010, 01_BB_770)';'AlternatePrecedence';'01_BB_770';'01_HOOFD_010';1.000;1.000;0.131
'AtMostOne(01_HOOFD_010)';'AtMostOne';'01_HOOFD_010';;1.000;1.000;1.000
'Participation(01_HOOFD_010)';'Participation';'01_HOOFD_010';;1.000;1.000;1.000
'NotChainSuccession(01_HOOFD_010, 01_BB_770)';'NotChainSuccession';'01_HOOFD_010';'01_BB_770';1.000;0.131;0.131
'RespondedExistence(01_HOOFD_010, 01_HOOFD_011)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_011';0.662;0.662;0.439
'CoExistence(01_HOOFD_010, 01_HOOFD_015)';'CoExistence';'01_HOOFD_010';'01_HOOFD_015';1.000;1.000;1.000
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_015)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_015';0.860;0.860;0.860
'RespondedExistence(01_HOOFD_010, 01_HOOFD_020)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_020';0.996;0.996;0.992
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_020)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_020';0.994;0.990;0.990
'RespondedExistence(01_HOOFD_010, 01_HOOFD_030_1)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_030_1';0.927;0.927;0.859
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_030_1)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_030_1';0.994;0.921;0.921
'RespondedExistence(01_HOOFD_010, 01_HOOFD_030_2)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_030_2';0.878;0.878;0.771
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_030_2)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_030_2';0.838;0.736;0.736
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_040)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_040';1.000;0.328;0.328
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_050)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_050';0.999;0.392;0.392
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_055)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_055';1.000;0.141;0.141
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_060)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_060';1.000;0.318;0.318
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_061)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_061';0.992;0.493;0.493
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_065_0)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_065_0';0.994;0.417;0.417
'AlternateResponse(01_HOOFD_010, 01_HOOFD_065_1)';'AlternateResponse';'01_HOOFD_010';'01_HOOFD_065_1';0.542;0.542;0.294
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_065_1)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_065_1';1.000;0.542;0.542
'RespondedExistence(01_HOOFD_010, 01_HOOFD_065_2)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_065_2';0.543;0.543;0.295
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_065_2)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_065_2';0.955;0.518;0.518
