'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AtMostOne(Admission NC)';'AtMostOne';'Admission NC';;0.868;0.366;0.154
'NotChainSuccession(Admission NC, CRP)';'NotChainSuccession';'Admission NC';'CRP';0.841;0.354;0.294
'NotSuccession(Admission NC, ER Registration)';'NotSuccession';'Admission NC';'ER Registration';1.000;0.421;0.421
'NotSuccession(Admission NC, ER Sepsis Triage)';'NotSuccession';'Admission NC';'ER Sepsis Triage';1.000;0.421;0.421
'NotSuccession(Admission NC, ER Triage)';'NotSuccession';'Admission NC';'ER Triage';1.000;0.421;0.421
'NotSuccession(Admission NC, IV Antibiotics)';'NotSuccession';'Admission NC';'IV Antibiotics';1.000;0.421;0.205
'RespondedExistence(Admission NC, IV Liquid)';'RespondedExistence';'Admission NC';'IV Liquid';0.813;0.342;0.153
'NotChainSuccession(Admission NC, IV Liquid)';'NotChainSuccession';'Admission NC';'IV Liquid';1.000;0.421;0.188
'RespondedExistence(Admission NC, LacticAcid)';'RespondedExistence';'Admission NC';'LacticAcid';0.938;0.395;0.223
'NotChainSuccession(Admission NC, LacticAcid)';'NotChainSuccession';'Admission NC';'LacticAcid';1.000;0.421;0.238
'NotChainSuccession(Admission NC, Leucocytes)';'NotChainSuccession';'Admission NC';'Leucocytes';0.815;0.343;0.284
'Response(Admission NC, Release A)';'Response';'Admission NC';'Release A';0.979;0.412;0.168
'Precedence(CRP, Admission NC)';'Precedence';'Admission NC';'CRP';1.000;0.829;0.349
'Precedence(ER Registration, Admission NC)';'Precedence';'Admission NC';'ER Registration';1.000;1.000;0.421
'Precedence(ER Sepsis Triage, Admission NC)';'Precedence';'Admission NC';'ER Sepsis Triage';1.000;1.000;0.421
'Precedence(ER Triage, Admission NC)';'Precedence';'Admission NC';'ER Triage';1.000;1.000;0.421
'Precedence(IV Antibiotics, Admission NC)';'Precedence';'Admission NC';'IV Antibiotics';0.875;0.426;0.179
'Precedence(Leucocytes, Admission NC)';'Precedence';'Admission NC';'Leucocytes';1.000;0.829;0.349
'AtMostOne(CRP)';'AtMostOne';'CRP';;0.671;0.556;0.461
'Participation(CRP)';'Participation';'CRP';;0.829;0.687;0.570
'RespondedExistence(CRP, Admission NC)';'RespondedExistence';'CRP';'Admission NC';0.750;0.622;0.262
'NotChainSuccession(CRP, Admission NC)';'NotChainSuccession';'CRP';'Admission NC';0.875;0.368;0.305
'RespondedExistence(CRP, ER Registration)';'RespondedExistence';'CRP';'ER Registration';1.000;0.829;0.829
'NotChainSuccession(CRP, ER Registration)';'NotChainSuccession';'CRP';'ER Registration';1.000;0.829;0.829
'RespondedExistence(CRP, ER Sepsis Triage)';'RespondedExistence';'CRP';'ER Sepsis Triage';1.000;0.829;0.829
'NotChainSuccession(CRP, ER Sepsis Triage)';'NotChainSuccession';'CRP';'ER Sepsis Triage';0.980;0.813;0.813
'RespondedExistence(CRP, ER Triage)';'RespondedExistence';'CRP';'ER Triage';1.000;0.829;0.829
'NotChainSuccession(CRP, ER Triage)';'NotChainSuccession';'CRP';'ER Triage';0.980;0.813;0.813
'RespondedExistence(CRP, IV Antibiotics)';'RespondedExistence';'CRP';'IV Antibiotics';0.766;0.635;0.309
'NotChainSuccession(CRP, IV Antibiotics)';'NotChainSuccession';'CRP';'IV Antibiotics';0.903;0.440;0.364
'RespondedExistence(CRP, IV Liquid)';'RespondedExistence';'CRP';'IV Liquid';0.703;0.583;0.261
'NotChainSuccession(CRP, IV Liquid)';'NotChainSuccession';'CRP';'IV Liquid';0.914;0.409;0.339
'RespondedExistence(CRP, LacticAcid)';'RespondedExistence';'CRP';'LacticAcid';0.805;0.667;0.377
'NotChainSuccession(CRP, LacticAcid)';'NotChainSuccession';'CRP';'LacticAcid';0.787;0.445;0.369
'CoExistence(CRP, Leucocytes)';'CoExistence';'CRP';'Leucocytes';1.000;0.829;0.687
'NotChainSuccession(CRP, Leucocytes)';'NotChainSuccession';'CRP';'Leucocytes';0.581;0.482;0.399
'Response(CRP, Release A)';'Response';'CRP';'Release A';0.734;0.609;0.248
'NotChainSuccession(CRP, Release A)';'NotChainSuccession';'CRP';'Release A';0.887;0.362;0.300
'AtMostOne(ER Registration)';'AtMostOne';'ER Registration';;1.000;1.000;1.000
'Participation(ER Registration)';'Participation';'ER Registration';;1.000;1.000;1.000
'NotChainSuccession(ER Registration, Admission NC)';'NotChainSuccession';'ER Registration';'Admission NC';1.000;0.421;0.421
'AlternateResponse(ER Registration, CRP)';'AlternateResponse';'ER Registration';'CRP';0.829;0.829;0.687
