'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AtMostOne(Add penalty)';'AtMostOne';'Add penalty';;1.000;0.691;0.478
'Participation(Add penalty)';'Participation';'Add penalty';;0.691;0.478;0.330
'NotSuccession(Add penalty, Create Fine)';'NotSuccession';'Add penalty';'Create Fine';1.000;0.691;0.691
'CoExistence(Add penalty, Insert Fine Notification)';'CoExistence';'Add penalty';'Insert Fine Notification';1.000;0.691;0.478
'NotSuccession(Add penalty, Insert Fine Notification)';'NotSuccession';'Add penalty';'Insert Fine Notification';1.000;0.691;0.478
'NotChainSuccession(Add penalty, Payment)';'NotChainSuccession';'Add penalty';'Payment';0.738;0.246;0.170
'NotSuccession(Add penalty, Send Fine)';'NotSuccession';'Add penalty';'Send Fine';1.000;0.691;0.588
'AlternateResponse(Add penalty, Send for Credit Collection)';'AlternateResponse';'Add penalty';'Send for Credit Collection';0.734;0.507;0.257
'AlternatePrecedence(Create Fine, Add penalty)';'AlternatePrecedence';'Add penalty';'Create Fine';1.000;1.000;0.691
'AlternatePrecedence(Send Fine, Add penalty)';'AlternatePrecedence';'Add penalty';'Send Fine';1.000;0.851;0.588
'AtMostOne(Create Fine)';'AtMostOne';'Create Fine';;1.000;1.000;1.000
'Init(Create Fine)';'Init';'Create Fine';;1.000;1.000;1.000
'AlternateResponse(Create Fine, Add penalty)';'AlternateResponse';'Create Fine';'Add penalty';0.691;0.691;0.478
'NotChainSuccession(Create Fine, Add penalty)';'NotChainSuccession';'Create Fine';'Add penalty';1.000;0.691;0.691
'AlternateResponse(Create Fine, Insert Fine Notification)';'AlternateResponse';'Create Fine';'Insert Fine Notification';0.691;0.691;0.478
'NotChainSuccession(Create Fine, Insert Fine Notification)';'NotChainSuccession';'Create Fine';'Insert Fine Notification';1.000;0.691;0.691
'NotChainSuccession(Create Fine, Payment)';'NotChainSuccession';'Create Fine';'Payment';0.782;0.261;0.261
'AlternateResponse(Create Fine, Send Fine)';'AlternateResponse';'Create Fine';'Send Fine';0.851;0.851;0.724
'AlternateResponse(Create Fine, Send for Credit Collection)';'AlternateResponse';'Create Fine';'Send for Credit Collection';0.507;0.507;0.257
'NotChainSuccession(Create Fine, Send for Credit Collection)';'NotChainSuccession';'Create Fine';'Send for Credit Collection';1.000;0.507;0.507
'AtMostOne(Insert Fine Notification)';'AtMostOne';'Insert Fine Notification';;1.000;0.691;0.478
'Participation(Insert Fine Notification)';'Participation';'Insert Fine Notification';;0.691;0.478;0.330
'AlternatePrecedence(Create Fine, Insert Fine Notification)';'AlternatePrecedence';'Insert Fine Notification';'Create Fine';1.000;1.000;0.691
'AlternateSuccession(Insert Fine Notification, Add penalty)';'AlternateSuccession';'Insert Fine Notification';'Add penalty';1.000;0.691;0.478
'NotSuccession(Insert Fine Notification, Create Fine)';'NotSuccession';'Insert Fine Notification';'Create Fine';1.000;0.691;0.691
'NotChainSuccession(Insert Fine Notification, Payment)';'NotChainSuccession';'Insert Fine Notification';'Payment';0.958;0.319;0.221
'NotSuccession(Insert Fine Notification, Send Fine)';'NotSuccession';'Insert Fine Notification';'Send Fine';1.000;0.691;0.588
'AlternateResponse(Insert Fine Notification, Send for Credit Collection)';'AlternateResponse';'Insert Fine Notification';'Send for Credit Collection';0.734;0.507;0.257
'NotChainSuccession(Insert Fine Notification, Send for Credit Collection)';'NotChainSuccession';'Insert Fine Notification';'Send for Credit Collection';1.000;0.507;0.351
'AlternatePrecedence(Send Fine, Insert Fine Notification)';'AlternatePrecedence';'Insert Fine Notification';'Send Fine';1.000;0.851;0.588
'Precedence(Create Fine, Payment)';'Precedence';'Payment';'Create Fine';1.000;1.000;0.333
'RespondedExistence(Payment, Add penalty)';'RespondedExistence';'Payment';'Add penalty';0.548;0.183;0.126
'NotChainSuccession(Payment, Add penalty)';'NotChainSuccession';'Payment';'Add penalty';0.958;0.319;0.221
'NotSuccession(Payment, Create Fine)';'NotSuccession';'Payment';'Create Fine';1.000;0.333;0.333
'RespondedExistence(Payment, Insert Fine Notification)';'RespondedExistence';'Payment';'Insert Fine Notification';0.548;0.183;0.126
'NotChainSuccession(Payment, Insert Fine Notification)';'NotChainSuccession';'Payment';'Insert Fine Notification';0.999;0.333;0.230
'RespondedExistence(Payment, Send Fine)';'RespondedExistence';'Payment';'Send Fine';0.626;0.208;0.177
'NotSuccession(Payment, Send Fine)';'NotSuccession';'Payment';'Send Fine';0.995;0.332;0.282
'NotChainSuccession(Payment, Send for Credit Collection)';'NotChainSuccession';'Payment';'Send for Credit Collection';0.966;0.322;0.163
'AtMostOne(Send Fine)';'AtMostOne';'Send Fine';;1.000;0.851;0.724
'Participation(Send Fine)';'Participation';'Send Fine';;0.851;0.724;0.616
'AlternatePrecedence(Create Fine, Send Fine)';'AlternatePrecedence';'Send Fine';'Create Fine';1.000;1.000;0.851
'AlternateResponse(Send Fine, Add penalty)';'AlternateResponse';'Send Fine';'Add penalty';0.813;0.691;0.478
'NotChainSuccession(Send Fine, Add penalty)';'NotChainSuccession';'Send Fine';'Add penalty';1.000;0.691;0.588
'NotSuccession(Send Fine, Create Fine)';'NotSuccession';'Send Fine';'Create Fine';1.000;0.851;0.851
'AlternateResponse(Send Fine, Insert Fine Notification)';'AlternateResponse';'Send Fine';'Insert Fine Notification';0.813;0.691;0.478
'NotChainSuccession(Send Fine, Payment)';'NotChainSuccession';'Send Fine';'Payment';0.954;0.318;0.270
'AlternateResponse(Send Fine, Send for Credit Collection)';'AlternateResponse';'Send Fine';'Send for Credit Collection';0.596;0.507;0.257
'NotChainSuccession(Send Fine, Send for Credit Collection)';'NotChainSuccession';'Send Fine';'Send for Credit Collection';1.000;0.507;0.432
'AtMostOne(Send for Credit Collection)';'AtMostOne';'Send for Credit Collection';;1.000;0.507;0.257
'Participation(Send for Credit Collection)';'Participation';'Send for Credit Collection';;0.507;0.257;0.131
'AlternatePrecedence(Add penalty, Send for Credit Collection)';'AlternatePrecedence';'Send for Credit Collection';'Add penalty';1.000;0.691;0.351
'AlternatePrecedence(Create Fine, Send for Credit Collection)';'AlternatePrecedence';'Send for Credit Collection';'Create Fine';1.000;1.000;0.507
'AlternatePrecedence(Insert Fine Notification, Send for Credit Collection)';'AlternatePrecedence';'Send for Credit Collection';'Insert Fine Notification';1.000;0.691;0.351
'AlternatePrecedence(Send Fine, Send for Credit Collection)';'AlternatePrecedence';'Send for Credit Collection';'Send Fine';1.000;0.851;0.432
'NotSuccession(Send for Credit Collection, Add penalty)';'NotSuccession';'Send for Credit Collection';'Add penalty';1.000;0.507;0.351
'NotSuccession(Send for Credit Collection, Create Fine)';'NotSuccession';'Send for Credit Collection';'Create Fine';1.000;0.507;0.507
'NotSuccession(Send for Credit Collection, Insert Fine Notification)';'NotSuccession';'Send for Credit Collection';'Insert Fine Notification';1.000;0.507;0.351
'NotSuccession(Send for Credit Collection, Payment)';'NotSuccession';'Send for Credit Collection';'Payment';1.000;0.333;0.169
'NotSuccession(Send for Credit Collection, Send Fine)';'NotSuccession';'Send for Credit Collection';'Send Fine';1.000;0.507;0.432
